Method,Mean,Mean_stderr,Median,Counts,Share_1e
Method 1 (Down),1.5948333856798785e-19,8.192935225986637e-21,1.4996670023207546e-19,"{np.int64(1): np.int64(98), np.int64(2): np.int64(14), np.int64(3): np.int64(1)}",86.72566371681415
Method 2 (Rise/Fall),1.4876212642460528e-19,5.581367951390422e-21,1.464669394155413e-19,"{np.int64(1): np.int64(71), np.int64(2): np.int64(6)}",92.20779220779221
