droplet_number,ok_down,N_down,R2_down,v_down_mps_wls,v_down_stderr_mps_wls,V_stop_V,V_stop_sigma_V,radius,effective_viscosity,q_C_method1_slip,q_stderr_C_total,n_e_estimate,residual_score
32,True,176.0,0.9979586703307414,3.2167158892977794e-05,2.534218554355869e-07,144.0,1.0,5.051415258322389e-07,1.5100319413599634e-05,1.927089083917038e-19,5.224915398871605e-21,1.2027944004562472,
33,True,339.0,0.994888875982304,2.6181145172628658e-05,2.3699783947552246e-07,160.0,1.0,4.51064952327513e-07,1.47932032256542e-05,1.234873119148688e-19,3.384451162115352e-21,0.7707471778974203,
34,True,223.0,0.9990721952090535,4.878410893720142e-05,2.658498050813484e-07,360.0,1.0,6.332823710876971e-07,1.5649090967753365e-05,1.5188495721956032e-19,3.883105351815466e-21,0.9479913387599705,
35,True,192.0,0.9961557301562088,3.544932730563497e-05,4.282428308730229e-07,268.7,1.0,5.326772723969119e-07,1.5236774176223402e-05,1.2110160625641683e-19,3.3205267670416563e-21,0.7558567743812,
36,True,234.0,0.9992113209126278,4.640516920684562e-05,1.9663415753715386e-07,364.0,1.0,6.164429864151528e-07,1.5588063479080608e-05,1.3854869256091426e-19,3.526454524352878e-21,0.8647529218736207,
37,True,276.0,0.9994622803350176,4.175398969511957e-05,1.1684383353985163e-07,232.0,1.0,5.822315434680541e-07,1.545489916804045e-05,1.8315731766285837e-19,4.693672551050716e-21,1.143178060246623,
38,True,147.0,0.9989482425470758,3.9525409687534994e-05,2.2267092759017203e-07,256.0,1.0,5.651689827489859e-07,1.538342196712543e-05,1.5181687944103017e-19,3.9345802713240865e-21,0.9475664306875055,
39,True,198.0,0.9990138569265752,4.927962083307779e-05,2.608004866473401e-07,422.0,1.0,6.367381434370977e-07,1.5661273385970893e-05,1.3170286353996835e-19,3.3577985562337623e-21,0.8220246179171801,
40,True,33.0,0.9958000555681668,5.704814045466335e-05,1.2735476044132532e-06,410.0,1.0,6.888156416586028e-07,1.5832051836399414e-05,1.7161301175535221e-19,5.284898308896387e-21,1.0711241701665724,
41,True,338.0,0.9980353325145136,2.609503392290803e-05,1.769776571964878e-07,137.0,1.0,4.5024466375556664e-07,1.4788086343370616e-05,1.4343337714401963e-19,3.904097091876067e-21,0.8952407250249514,
42,True,230.0,0.9969279773634316,3.061684275239949e-05,2.6958115739446904e-07,230.0,1.0,4.916514760524246e-07,1.502889276956114e-05,1.1124212445986655e-19,2.9827060653858006e-21,0.6943187292785507,
43,True,274.0,0.999336443139472,5.877431464680517e-05,2.743852511845556e-07,225.0,1.0,6.998984435179884e-07,1.586555162400605e-05,3.280557340994918e-19,8.384844448190594e-21,2.047562841310865,
44,True,174.0,0.9972181827642068,3.31136049553323e-05,3.409091218413469e-07,201.0,1.0,5.132190964295813e-07,1.5141602709744502e-05,1.447896218815192e-19,3.937813376267545e-21,0.9037057388612447,
45,True,101.0,0.993446658190722,3.4739694218423253e-05,6.076608350549827e-07,196.0,1.0,5.268345768499471e-07,1.5208810351119251e-05,1.606171104312343e-19,4.743942330864208e-21,1.0024931522702154,
46,True,345.0,0.9966403110548878,3.345304089657425e-05,1.221321844761101e-07,172.0,1.0,5.16088135740092e-07,1.5156008627535735e-05,1.7205537603128715e-19,4.505969071784776e-21,1.0738851908090377,
47,True,320.0,0.999609534357006,4.594843845385761e-05,1.2936130522856224e-07,184.0,1.0,6.131613124285346e-07,1.5575838246192354e-05,2.6973138388434843e-19,6.948779901109155e-21,1.6835308801810203,
48,True,141.0,0.9919452766247092,3.316022809585227e-05,5.941369540897922e-07,275.0,1.0,5.136140329667909e-07,1.5143593647950814e-05,1.0607255194627352e-19,3.1335856004049745e-21,0.6620527955238769,
49,True,332.0,0.9995814221671432,3.665500132840664e-05,1.0946080364083293e-07,193.0,1.0,5.424726884946935e-07,1.5282528383554643e-05,1.780743603569574e-19,4.614754506626758e-21,1.1114527360967457,
50,True,231.0,0.9989452820794542,3.7791361986155865e-05,1.966266207567133e-07,218.0,1.0,5.515597494921097e-07,1.5323757905656544e-05,1.657090668311848e-19,4.309832883271519e-21,1.034274644347265,
51,True,234.0,0.9907989954348518,4.89974675719439e-05,6.621283449436802e-07,182.0,1.0,6.347724935516331e-07,1.5654357918287567e-05,3.0255753843816524e-19,8.426735991741639e-21,1.8884156217083194,
52,True,227.0,0.9945615306598906,3.198527719358412e-05,3.1952503527132254e-07,221.0,1.0,5.035758085128611e-07,1.509219101863892e-05,1.2440200230935597e-19,3.3683438283510516e-21,0.776456226294934,
53,True,239.0,0.9991904021660548,5.123718200230861e-05,1.866183965123265e-07,389.0,1.0,6.502244487081797e-07,1.570775247806406e-05,1.5214768622831071e-19,3.8485757320364215e-21,0.9496311642522102,
54,True,323.0,0.9929288341781612,2.10994060197243e-05,2.055398604470329e-07,104.0,1.0,4.001233495314506e-07,1.4444092360977322e-05,1.3260912704006255e-19,3.814615813707094e-21,0.8276810697768705,
55,True,304.0,0.9990452533801848,2.139263860605981e-05,7.666452210334574e-08,114.0,1.0,4.0321741601077217e-07,1.4467280587892441e-05,1.2380496546270647e-19,3.398458771313469e-21,0.7727298153987838,
